nhay_cam,dau_chu_T,dau_chu_U,chan_long,mun,sac_to,nep_nhan,loai_da
0,2,2,0,2,1,1,mun
1,2,2,0,1,0,3,nhaycam
1,0,0,0,0,2,1,nhaycam
0,1,1,1,2,2,2,mun
0,2,2,1,1,1,1,dau
1,2,1,1,1,0,3,nhaycam
0,2,2,0,1,2,0,sacto
1,2,2,0,0,0,2,nhaycam
1,1,1,1,0,3,0,nhaycam
1,1,1,0,2,2,3,nhaycam
0,2,2,1,1,2,2,sacto
0,0,0,0,0,1,2,kho
0,2,2,0,2,1,3,mun
1,2,2,0,1,0,1,nhaycam
1,0,0,0,0,2,3,nhaycam
0,1,1,1,2,2,0,mun
1,2,2,0,0,0,1,nhaycam
1,1,1,1,0,3,2,nhaycam
1,1,1,0,2,2,1,nhaycam
0,2,2,1,1,2,0,sacto
1,1,0,0,2,3,3,nhaycam
0,0,0,0,0,0,0,kho
0,0,0,0,0,0,1,kho
0,0,0,0,0,0,2,kho
0,0,0,0,0,0,3,laohoa
0,0,0,0,0,1,0,kho
0,0,0,0,0,1,1,kho
0,0,0,0,0,1,3,laohoa
0,0,0,0,0,2,0,sacto
0,0,0,0,0,2,1,sacto
0,0,0,0,0,2,2,laohoa
0,0,0,0,0,2,3,laohoa
0,0,0,0,1,0,0,kho
0,0,0,0,1,0,1,kho
0,0,0,0,1,0,2,kho
0,0,0,0,1,0,3,laohoa
0,0,0,0,1,1,0,kho
0,0,0,0,1,1,1,kho
0,0,0,0,1,1,2,kho
0,0,0,0,1,1,3,laohoa
0,0,0,0,1,2,0,sacto
0,0,0,0,1,2,1,sacto
0,0,0,0,1,2,2,sacto
0,0,0,0,1,2,3,laohoa
0,0,0,0,2,0,0,mun
0,0,0,0,2,0,1,mun
0,0,0,0,2,0,2,mun
0,0,0,0,2,0,3,mun
0,0,0,0,2,1,0,mun
0,0,0,0,2,1,1,mun
0,0,0,0,2,1,2,mun
0,0,0,0,2,1,3,mun
0,0,0,0,2,2,0,mun
0,0,0,0,2,2,1,mun
0,0,0,0,2,2,2,mun
0,0,0,0,2,2,3,mun
0,0,0,1,0,0,0,kho
0,0,0,1,0,0,1,kho
0,0,0,1,0,0,2,kho
0,0,0,1,0,0,3,laohoa
0,0,0,1,0,1,0,kho
0,0,0,1,0,1,1,kho
0,0,0,1,0,1,2,kho
1,1,1,0,1,0,3,nhaycam
0,2,2,0,2,2,1,mun
1,2,0,0,2,2,1,nhaycam
0,1,1,1,1,0,3,laohoa
0,1,1,1,0,1,2,laohoa
1,2,2,0,2,2,2,nhaycam
0,2,2,1,2,1,1,mun
1,0,0,1,2,2,2,nhaycam
1,2,0,0,0,1,3,nhaycam
1,2,2,1,1,2,3,nhaycam
1,2,2,1,2,2,2,nhaycam
1,0,0,0,2,2,2,nhaycam
0,1,1,1,1,1,1,laohoa
0,2,2,0,2,1,0,mun
1,1,1,1,1,1,2,nhaycam
1,1,1,1,1,1,3,nhaycam
0,2,0,0,0,1,1,honhop
1,2,2,1,1,0,2,nhaycam
0,2,2,1,2,2,1,mun
1,1,1,0,0,0,1,nhaycam
0,2,2,1,2,1,2,mun
1,0,0,0,2,2,3,nhaycam
0,1,1,1,1,0,2,laohoa
1,2,2,1,1,1,1,nhaycam
1,1,1,1,2,2,2,nhaycam
0,1,1,1,2,0,0,mun
1,2,2,1,2,1,2,nhaycam
0,1,1,1,0,0,1,thuong
1,1,1,1,0,1,2,nhaycam
0,0,0,1,1,1,1,kho
1,1,1,0,2,2,2,nhaycam
1,1,1,0,0,0,0,nhaycam
1,1,1,2,2,2,2,nhaycam
0,0,0,1,1,1,2,kho
1,1,1,1,1,1,0,nhaycam
1,0,0,0,1,1,1,nhaycam
0,1,1,1,1,1,0,sacto
0,1,1,0,0,0,0,thuong
0,0,0,1,1,1,0,kho
1,1,1,1,0,0,0,nhaycam
1,2,2,2,2,2,2,nhaycam
0,0,0,2,2,2,1,mun
1,1,1,1,1,0,0,nhaycam
1,2,2,1,2,0,2,nhaycam
0,2,2,1,2,1,3,mun
0,2,2,1,1,1,3,laohoa
1,1,1,0,0,2,2,nhaycam
0,2,2,1,2,2,2,mun
0,2,2,0,0,1,1,dau
1,0,0,1,1,1,2,nhaycam
0,2,2,1,0,0,1,dau
0,1,1,1,2,0,2,mun
1,1,1,0,1,1,2,nhaycam
1,2,2,0,0,1,1,nhaycam
1,2,2,1,1,1,2,nhaycam
1,2,2,0,0,1,3,nhaycam
0,0,0,1,2,2,2,mun
0,2,0,1,1,0,3,laohoa
1,2,2,0,2,0,0,nhaycam
1,1,1,0,1,1,1,nhaycam
0,2,2,0,2,0,3,laohoa
1,2,2,1,1,1,0,nhaycam
0,2,0,0,2,2,1,mun
0,2,0,0,2,2,2,mun
1,2,0,1,2,0,3,nhaycam
0,1,1,1,1,0,1,mun
1,0,0,0,0,1,1,nhaycam
1,1,1,0,0,1,0,nhaycam
1,2,2,0,1,2,2,nhaycam
0,2,2,0,1,1,0,dau
0,2,2,1,1,0,0,dau
1,0,0,1,2,1,1,nhaycam
1,2,2,0,0,2,2,nhaycam
0,2,2,1,1,0,2,laohoa
0,1,1,0,1,0,0,mun
1,2,0,1,2,0,1,nhaycam
